POPESTIMATE2021,NPOPCHG_2021
331893745,392665
57159838,-365795
68841444,-93730
127225329,816322
78667134,35868
5039877,15074
732673,232
7276316,98330
3025891,13659
39237836,-261902
5812069,27761
3605597,5337
1003384,11498
670050,-20043
21781128,211196
10799566,73766
1441553,-10358
1900923,53151
12671469,-113776
6805985,20341
3193079,4410
2934582,-1298
4509394,5436
4624047,-27156
1372247,9967
6165129,-7550
6984723,-37497
10050811,-16853
5707390,225
2949965,-6905
6168187,13706
1104271,18078
1963692,2237
3143991,29920
1388992,11144
9267130,-12613
2115877,-1689
19835913,-319020
10551162,93985
774948,-4014
11780017,-10570
3986639,24608
4246155,4611
12964056,-25569
1095610,-619
5190705,59976
895376,8277
6975218,55099
29527941,310288
3337975,56291
645570,3075
8642274,10230
7738692,19907
1782959,-6839
5895908,3585
578803,1536
3263584,-17954
