SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,NPOPCHG_2020,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018,PPOPCHG_2019,PPOPCHG_2020,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_POPEST2018,NRANK_POPEST2019,NRANK_POPEST2020,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_NPCHG2018,NRANK_NPCHG2019,NRANK_NPCHG2020,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017,NRANK_PPCHG2018,NRANK_PPCHG2019,NRANK_PPCHG2020
010,0,0,00,United States,308758105,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123,569038,2256338,2294181,2182285,2326382,2352665,2332761,2050373,1716071,1491754,1154170,0.1842989676,0.7294342094,0.7362973777,0.6952661066,0.7360572012,0.7389340514,0.7273081988,0.634649414,0.5278235015,0.4564197222,0.351527477,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,55318414,55380764,55608318,55782661,55912775,56021339,56052790,56063777,56083383,56084543,56002934,55849869,62350,227554,174343,130114,108564,31451,10987,19606,1160,-81609,-153065,0.1127111128,0.4108899617,0.3135196429,0.2332516909,0.1941667177,0.0561411072,0.0196011653,0.0349708868,0.0020683488,-0.14551068,-0.273316037,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4
020,2,0,00,Midwest Region,66929737,66975328,67164092,67348275,67576524,67765576,67885682,68018175,68160342,68263019,68340091,68316744,45591,188764,184183,228249,189052,120106,132493,142167,102677,77072,-23347,0.0681177038,0.2818410983,0.2742283779,0.3389084576,0.2797598764,0.1772374812,0.1951707578,0.2090132527,0.1506403826,0.1129044703,-0.034162963,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3
020,3,0,00,South Region,114563042,114869421,116019483,117264196,118397213,119666248,121049223,122419547,123611036,124649156,125686544,126662754,306379,1150062,1244713,1133017,1269035,1382975,1370324,1191489,1038120,1037388,976210,0.2674326682,1.0011907347,1.072848256,0.9662088162,1.0718453314,1.1556934584,1.1320386584,0.9732832944,0.839827926,0.832246309,0.7767020788,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020,4,0,00,West Region,71946912,72101630,72791588,73482530,74173435,74933166,75751299,76570256,77267367,77841481,78300384,78654756,154718,689958,690942,690905,759731,818133,818957,697111,574114,458903,354372,0.2150446707,0.9569242748,0.9492058341,0.9402302833,1.0242629319,1.0918169399,1.0811128137,0.9104200984,0.743022601,0.589535289,0.4525801559,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
040,3,6,01,Alabama,4780118,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532,5396,14128,16990,14954,12151,11066,12021,11165,13639,16337,13567,0.1128842426,0.2952242957,0.3539847347,0.3104659023,0.2514909183,0.228459968,0.2476104592,0.2294103917,0.2796029265,0.3339787899,0.2764282141,23,23,23,23,23,23,24,24,24,24,24,24,28,32,25,31,31,29,28,28,24,18,18,36,38,34,33,35,36,34,32,26,26,27
040,4,9,02,Alaska,710246,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,731158,3736,8367,8461,6816,-551,1355,4145,-1592,-4359,-3021,-2445,0.52601493,1.1718782826,1.1713174657,0.9326637567,-0.074699102,0.1838347522,0.5613260566,-0.214389119,-0.588272605,-0.410114251,-0.333286532,47,47,47,47,47,48,48,48,48,48,48,48,32,40,40,42,47,42,37,43,46,43,39,2,7,10,18,47,37,22,46,50,47,46
040,4,8,04,Arizona,6392292,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7421401,15050,66074,82928,78346,98183,99937,111957,103321,116140,127615,129558,0.2354398078,1.0312232436,1.2810547013,1.1949647547,1.4798430673,1.4843143484,1.6385206087,1.4877532968,1.6478227854,1.7812805511,1.7767524616,16,16,16,15,15,15,14,14,14,14,14,14,11,10,7,5,4,7,7,7,3,3,3,17,10,8,7,7,9,8,6,4,3,2
040,3,7,05,Arkansas,2916029,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3030522,5969,19040,11838,7583,8300,10973,12083,12040,8306,8824,9537,0.204696181,0.6516089333,0.4025109502,0.2568004887,0.2803619304,0.3696157216,0.405506267,0.4024313001,0.2765113496,0.2929458286,0.3156917363,32,32,32,32,32,32,33,32,32,33,33,33,26,25,35,41,37,30,27,26,30,26,22,22,28,31,38,31,30,27,24,28,28,25
040,4,9,06,California,37254522,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39368078,65028,316761,308240,309217,332938,317590,244890,188599,99678,147,-69532,0.1745506223,0.848780331,0.8189963145,0.8149180629,0.8703404067,0.8230554844,0.6294677585,0.4817443714,0.2533899659,0.000372742,-0.176308858,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,6,37,49,27,19,21,21,16,17,20,23,30,37,42
